source_book_id,title,author,category,subcategory,source_url,intro,tags_json,favorites_count,views_proxy,word_count,status,updated_at,first_day_v,first_day_favorites,first_day_flowers,first_day_reward,first_day_rating,first_day_reviews,first_day_words_k,best_rank,worst_rank,total_times
1288329,00后校长，全网说我带学生摆?,火书楼果冻2,都市言情,都市生活,https://b.faloo.com/1288329.html,分类:都市言情；二级:都市生活；来源:excel,"{""sourceBookId"":1288329,""inXls"":true,""xlsCreatedAt"":""2023-03-04 00:00:00"",""firstRankDate"":""2023-07-17 00:00:00"",""lastRankDate"":""2023-07-17 00:00:00""}",0,0,0,published,,,,11,0,0,0,10.0,32,32,1
1288571,开局百万暴击返还，我无敌了！,玄一,玄幻奇幻,东方玄幻,https://b.faloo.com/1288571.html,分类:玄幻奇幻；二级:东方玄幻；来源:excel,"{""sourceBookId"":1288571,""inXls"":true,""xlsCreatedAt"":""2023-03-04 00:00:00"",""firstRankDate"":""2023-05-08 00:00:00"",""lastRankDate"":""2023-05-18 00:00:00""}",0,0,0,published,,,,159,0,0,6,21.0,8,49,8
1288679,西游：从一卷经书进化成混沌至宝,望央,武侠仙侠,古典仙侠,https://b.faloo.com/1288679.html,分类:武侠仙侠；二级:古典仙侠；来源:excel,"{""sourceBookId"":1288679,""inXls"":true,""xlsCreatedAt"":""2023-03-05 00:00:00"",""firstRankDate"":""2023-03-21 00:00:00"",""lastRankDate"":""2023-05-12 00:00:00""}",0,0,0,published,,,,1039,100,0,1,12.0,8,48,79
1288697,洪荒：我，混沌珠，镇压洪荒！,一念成空,玄幻奇幻,神话传说,https://b.faloo.com/1288697.html,分类:玄幻奇幻；二级:神话传说；来源:excel,"{""sourceBookId"":1288697,""inXls"":true,""xlsCreatedAt"":""2023-03-05 00:00:00"",""firstRankDate"":""2023-03-31 00:00:00"",""lastRankDate"":""2023-04-01 00:00:00""}",0,0,0,published,,,,420,1176,0,10,30.0,32,43,2
1288742,洪荒：开局简化功法，呼吸就变强,艺之主,玄幻奇幻,东方玄幻,https://b.faloo.com/1288742.html,分类:玄幻奇幻；二级:东方玄幻；来源:excel,"{""sourceBookId"":1288742,""inXls"":true,""xlsCreatedAt"":""2023-03-05 00:00:00"",""firstRankDate"":""2023-03-20 00:00:00"",""lastRankDate"":""2023-04-11 00:00:00""}",0,0,0,published,,,,430,0,0,2,27.0,8,48,15
1288857,大明：我朱栎，开局继承神机百炼,大虞歌歌,军事历史,穿越时空,https://b.faloo.com/1288857.html,分类:军事历史；二级:穿越时空；来源:excel,"{""sourceBookId"":1288857,""inXls"":true,""xlsCreatedAt"":""2023-03-05 00:00:00"",""firstRankDate"":""2023-03-16 00:00:00"",""lastRankDate"":""2023-04-30 00:00:00""}",0,0,0,published,,,,1609,100,0,1,27.0,1,48,64
1288912,型月：盘点十大奇葩称号,人在骑士1,同人小说,影视同人,https://b.faloo.com/1288912.html,分类:同人小说；二级:影视同人；来源:excel,"{""sourceBookId"":1288912,""inXls"":true,""xlsCreatedAt"":""2023-03-05 00:00:00"",""firstRankDate"":""2023-03-25 00:00:00"",""lastRankDate"":""2023-03-25 00:00:00""}",0,0,0,published,,,,11527,100,175,6,17.0,48,48,1
1288914,双忍界对比：没有对比就没有伤害,天祭啊,同人小说,动漫同人,https://b.faloo.com/1288914.html,分类:同人小说；二级:动漫同人；来源:excel,"{""sourceBookId"":1288914,""inXls"":true,""xlsCreatedAt"":""2023-03-05 00:00:00"",""firstRankDate"":""2023-03-17 00:00:00"",""lastRankDate"":""2023-03-21 00:00:00""}",0,0,0,published,,,,1980,0,153,15,19.0,19,45,5
1289183,大明：夭寿了，我的狱友竟是朱棣,青四十四,军事历史,架空历史,https://b.faloo.com/1289183.html,分类:军事历史；二级:架空历史；来源:excel,"{""sourceBookId"":1289183,""inXls"":true,""xlsCreatedAt"":""2023-03-06 00:00:00"",""firstRankDate"":""2023-03-23 00:00:00"",""lastRankDate"":""2023-05-26 00:00:00""}",0,0,0,published,,,,42,0,0,0,20.0,1,45,109
1289366,综武：北凉不良帅，侍女南宫仆射,太稀薄的猪悟能,同人小说,影视同人,https://b.faloo.com/1289366.html,分类:同人小说；二级:影视同人；来源:excel,"{""sourceBookId"":1289366,""inXls"":true,""xlsCreatedAt"":""2023-03-06 00:00:00"",""firstRankDate"":""2023-03-18 00:00:00"",""lastRankDate"":""2023-03-19 00:00:00""}",0,0,0,published,,,,1316,0,0,4,19.0,42,48,2
